# 1400251e-5e66-445e-9e92-b754b05e685f
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.5921457; 5.1191785; -0.6766846; -0.1524666; 6.6907194; 4.2770152
0.0499787; 2.6235968; 5.1580331; -0.6842611; -0.1506489; 6.7225921; 4.2854052
0.0999573; 2.6553269; 5.1966344; -0.6917422; -0.1487717; 6.7543765; 4.2979252
0.1499360; 2.6873544; 5.2350123; -0.6991312; -0.1468742; 6.7861043; 4.3127762
0.1999147; 2.7196529; 5.2731423; -0.7064236; -0.1449909; 6.8177933; 4.3283559
0.2498934; 2.7522368; 5.3110489; -0.7136254; -0.1431597; 6.8494493; 4.3428600
0.2998720; 2.7850811; 5.3487099; -0.7207334; -0.1413236; 6.8810651; 4.3504868
0.3498507; 2.8182002; 5.3861489; -0.7277525; -0.1395216; 6.9125914; 4.3417663
0.3998294; 2.8515703; 5.4233456; -0.7346796; -0.1377199; 6.9439118; 4.3330633
0.4498080; 2.8852047; 5.4603218; -0.7415194; -0.1359534; 6.9750292; 4.3243777
0.4997867; 2.9190807; 5.4970590; -0.7482691; -0.1341859; 7.0059465; 4.3157095
0.5497654; 2.9532110; 5.5335774; -0.7549330; -0.1324508; 7.0366663; 4.3070587
0.5997440; 2.9875739; 5.5698602; -0.7615086; -0.1307153; 7.0671915; 4.2984252
0.6497227; 3.0221813; 5.6059263; -0.7679997; -0.1290102; 7.0975245; 4.2898091
0.6997014; 3.0570125; 5.6417603; -0.7744041; -0.1273046; 7.1276681; 4.2812102
0.7496801; 3.0920787; 5.6773797; -0.7807254; -0.1256273; 7.1576246; 4.2726285
0.7996587; 3.1273605; 5.7127709; -0.7869615; -0.1239498; 7.1873967; 4.2640641
0.8496374; 3.1628680; 5.7479499; -0.7931157; -0.1222985; 7.2169866; 4.2555168
0.8996161; 3.1985830; 5.7829045; -0.7991861; -0.1206470; 7.2463967; 4.2469866
0.9495947; 3.2345147; 5.8176494; -0.8051758; -0.1190198; 7.2756294; 4.2384736
0.9995734; 3.2706461; 5.8521740; -0.8110830; -0.1173926; 7.3046868; 4.2299776
1.0495521; 3.3069856; 5.8864917; -0.8169105; -0.1157879; 7.3335712; 4.2214987
1.0995308; 3.3435172; 5.9205931; -0.8226569; -0.1141831; 7.3622848; 4.2130367
1.1495094; 3.3802483; 5.9544906; -0.8283244; -0.1125990; 7.3908295; 4.2045917
1.1994881; 3.4171644; 5.9881761; -0.8339120; -0.1110150; 7.4192075; 4.1961636
1.2494668; 3.4542718; 6.0216607; -0.8394216; -0.1094499; 7.4474209; 4.1877524
1.2994454; 3.4915571; 6.0549376; -0.8448523; -0.1078850; 7.4754715; 4.1793581
1.3494241; 3.5290258; 6.0880169; -0.8502059; -0.1063374; 7.5033614; 4.1709806
1.3994028; 3.5666655; 6.1208930; -0.8554815; -0.1047900; 7.5310924; 4.1626199
1.4493815; 3.6044808; 6.1535749; -0.8606807; -0.1032583; 7.5586663; 4.1542760
1.4993601; 3.6424606; 6.1860580; -0.8658029; -0.1017269; 7.5860851; 4.1459488
1.5493388; 3.6806085; 6.2183506; -0.8708494; -0.1002097; 7.6133505; 4.1376383
1.5993175; 3.7189144; 6.2504490; -0.8758196; -0.0986929; 7.6404642; 4.1293444
1.6492961; 3.7573812; 6.2823605; -0.8807147; -0.0971889; 7.6674279; 4.1210672
1.6992748; 3.7959998; 6.3140825; -0.8855343; -0.0956852; 7.6942434; 4.1128065
1.7492535; 3.8347721; 6.3456215; -0.8902794; -0.0941931; 7.7209123; 4.1045624
1.7992321; 3.8736903; 6.3769759; -0.8949496; -0.0927013; 7.7474362; 4.0963349
1.8492108; 3.9127553; 6.4081512; -0.8995457; -0.0912199; 7.7738167; 4.0881238
1.8991895; 3.9519603; 6.4391467; -0.9040676; -0.0897387; 7.8000554; 4.0799292
1.9491682; 3.9913053; 6.4699672; -0.9085160; -0.0882668; 7.8261538; 4.0717510
1.9991468; 4.0307848; 6.5006129; -0.9128905; -0.0867953; 7.8521134; 4.0635892
2.0491255; 4.0703977; 6.5310878; -0.9171919; -0.0853318; 7.8779357; 4.0554438
